Comment,Designator,Footprint,LCSC
"10F","C1,C2,C3,C4,C5","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","DNP"
"0.1u","C12","Capacitor_SMD:C_0805_2012Metric","C28233"
"10u 25V X7R","C6","Capacitor_SMD:C_0805_2012Metric","C15850"
"22u 10V X7R","C7,C8,C9,C10,C11","Capacitor_SMD:C_0805_2012Metric","C45783"
"B340LA-13-F","D1,D5","Diode_SMD:D_SMA","C17101"
"PTVSHC3D15VUH","D2,D3","Diode_SMD:D_SOD-323","C312234"
"Green","D4,D20","LED_SMD:LED_0805_2012Metric","C2293"
"Fuse_Small","F1","Fuse:Fuse_1206_3216Metric","C140470"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.7mm_M2.5","DNP"
"Raspberry_Pi_2_3","J1,J2","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","DNP"
"171826-4","J12","TE_171826-4","DNP"
"Conn_01x05","J3","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","DNP"
"Conn_01x03","J4,J7,J10","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","DNP"
"Conn_01x04","J6","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","DNP"
"Conn_02x03_Odd_Even","J8","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","DNP"
"LEDs and Buttons","J9","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","DNP"
"SolderJumper_2_Open","JP1,JP2,JP3","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","DNP"
"IRF5305","Q1","Package_TO_SOT_SMD:TO-263-2","C878890"
"1k","R1,R2,R3,R4,R5","Resistor_SMD:R_1206_3216Metric","C4410"
"47k","R20,R21","Resistor_SMD:R_0805_2012Metric","C17713"
"1k","R6,R10,R13,R15,R16","Resistor_SMD:R_0805_2012Metric","C17513"
"10 3W","R7","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal","DNP"
"10k","R8,R11,R14","Resistor_SMD:R_0805_2012Metric","C17414"
"2.2k","R9,R12","Resistor_SMD:R_0805_2012Metric","C17520"
"TestPoint_Small","TP1","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","DNP"
"KA431SMFTF","U1,U2,U3,U4,U5","Package_TO_SOT_SMD:SOT-23","C232815"
"LM2596S-5","U6","Package_TO_SOT_SMD:TO-263-5_TabPin3","C347421"
"L7805","U7","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","DNP"
"ATtiny85-20P","U8","Package_DIP:DIP-8_W7.62mm","DNP"
"STC8H1K08","U9","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C915673"
