Comment,Designator,Footprint,LCSC
"10F","C1,C2,C3,C4,C5","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","DNP"
"1u","C11,C12","Capacitor_SMD:C_0805_2012Metric","C28323"
"4.7u","C15,C16","Capacitor_SMD:C_0805_2012Metric","C1779"
"4.7n","C17,C20","Capacitor_SMD:C_0805_2012Metric","C1744"
"10n","C19","Capacitor_SMD:C_0805_2012Metric","C1710"
"33u","C21,C23","Capacitor_SMD:C_0805_2012Metric","C432920"
"39p","C22","Capacitor_SMD:C_0805_2012Metric","C296098"
"10u","C7,C8,C10,C13","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C9,C14,C18","Capacitor_SMD:C_0805_2012Metric","C28233"
"PTVSHC3D15VUH","D1,D7","Diode_SMD:D_SOD-323","C312234"
"SS54","D2,D4,D8","Diode_SMD:D_SMA","C22452"
"Green","D3,D5,D6,D9","LED_SMD:LED_0805_2012Metric","C2297"
"Fuse_Small","F1,F2","Fuse:Fuse_1206_3216Metric","C140470"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.7mm_M2.5","DNP"
"Conn_01x03","J1,J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","DNP"
"Barrel_Jack","J10","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","C521451"
"Conn_01x05","J2","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","DNP"
"171826-4","J5","TE_171826-4","DNP"
"LEDs and Buttons","J6","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","DNP"
"STLinkV2 Connector","J7","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Raspberry_Pi_2_3","J8","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","DNP"
"Charge Enb","JP1","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"6.8uH","L1","raspberrypi_supercap_ups_lib:Sunltech_SLO0530H","C325965"
"10 3W","R1,R28","raspberrypi_supercap_ups_lib:SMT_Resistor_4122","C306270"
"2.2k","R10,R11,R13","Resistor_SMD:R_0805_2012Metric","C17520"
"0","R16,R24","Resistor_SMD:R_0805_2012Metric","C17477"
"1k","R2,R3,R4,R5,R6","Resistor_SMD:R_1206_3216Metric","C4410"
"332k","R21","Resistor_SMD:R_0805_2012Metric","C17631"
"68.1k","R22","Resistor_SMD:R_0805_2012Metric","C17795"
"49.9k","R23","Resistor_SMD:R_0805_2012Metric","C17719"
"10.2k","R25","Resistor_SMD:R_0805_2012Metric","C17402"
"1.5k","R26","Resistor_SMD:R_0805_2012Metric","C4310"
"200","R33","Resistor_SMD:R_0805_2012Metric","C17557"
"1k","R7,R14,R15,R18,R19,R27","Resistor_SMD:R_0805_2012Metric","C17513"
"10k","R8,R9,R12,R20","Resistor_SMD:R_0805_2012Metric","C17414"
"Reset","SW1","SW_TS-1187A-B-A-B","C318884"
"KA431SMFTF","U1,U2,U3,U4,U5","Package_TO_SOT_SMD:SOT-23","C232815"
"AMS1117-3.3","U6","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"STM8S003F3P","U7","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C52717"
"TPS54331DR","U8","raspberrypi_supercap_ups_lib:SOIC127P599X175-8N","C9865"
"Logo_Open_Hardware_Small","Z2","Symbol:CE-Logo_8.5x6mm_SilkScreen",""
"Logo_Open_Hardware_Small","Z4","Symbol:OSHW-Logo_7.5x8mm_SilkScreen",""
