Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10F,CP_Radial_D10.0mm_P5.00mm,108.690238,-143.4,180.0,top
C2,10F,CP_Radial_D10.0mm_P5.00mm,95.631749,-143.4,180.0,top
C3,10F,CP_Radial_D10.0mm_P5.00mm,82.57326,-143.4,180.0,top
C4,10F,CP_Radial_D10.0mm_P5.00mm,69.514771,-143.4,180.0,top
C5,10F,CP_Radial_D10.0mm_P5.00mm,56.456282,-143.4,180.0,top
C6,10u,C_0805_2012Metric,89.122,-109.302,90.0,top
C7,10u,C_0805_2012Metric,89.154,-112.776,-90.0,top
C8,100n,C_0805_2012Metric,78.066,-108.7,-90.0,top
C9,10u,C_0805_2012Metric,82.475332,-126.038,0.0,top
C10,1u,C_0805_2012Metric,78.930666,-126.038,180.0,top
C11,1u,C_0805_2012Metric,66.915,-112.3,-90.0,top
C12,10u,C_0805_2012Metric,61.4,-108.72,90.0,top
C13,100n,C_0805_2012Metric,61.4,-112.32,-90.0,top
C14,4.7u,C_0805_2012Metric,86.406,-132.5695,-90.0,top
C15,4.7u,C_0805_2012Metric,84.366,-132.5695,-90.0,top
C16,4.7n,C_0805_2012Metric,82.326,-132.5695,-90.0,top
C17,100n,C_0805_2012Metric,71.716,-131.2945,90.0,top
C18,10n,C_0805_2012Metric,82.326,-128.8795,90.0,top
C19,4.7n,C_0805_2012Metric,75.386,-126.038,180.0,top
C20,33u,C_0805_2012Metric,69.572,-134.9295,90.0,top
C21,39p,C_0805_2012Metric,71.716,-127.6595,90.0,top
C22,33u,C_0805_2012Metric,71.716,-134.9295,90.0,top
D1,PTVSHC3D15VUH,D_SOD-323,91.1,-109.22,-90.0,top
D2,SS54,D_SMA,95.665,-109.37,0.0,top
D3,Green,LED_0805_2012Metric,113.03,-134.366,180.0,top
D4,SS54,D_SMA,84.806,-136.144,180.0,top
D5,Green,LED_0805_2012Metric,113.014095,-130.302,180.0,top
D6,Green,LED_0805_2012Metric,113.03,-132.334,180.0,top
D7,PTVSHC3D15VUH,D_SOD-323,59.3,-110.5,-90.0,top
D8,Green,LED_0805_2012Metric,113.03,-136.398,180.0,top
D9,D_Schottky_Small,D_SMA,62.05,-118.5,-90.0,top
D10,SS54,D_SMA,76.911,-134.9495,0.0,top
F1,Fuse_Small,Fuse_1206_3216Metric,100.4,-109.9,90.0,top
F2,Fuse_Small,Fuse_1206_3216Metric,88.646,-130.678,90.0,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,84.468,-119.747,0.0,bottom
J2,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,53.501,-117.205,180.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,53.501,-129.885,0.0,top
J4,Barrel_Jack,BarrelJack_Wuerth_6941xx301002,111.2,-111.506,90.0,top
